spectrum_index,spectrum_id,ms_level,rt_seconds,polarity,centroid,tic,base_peak_mz,base_peak_intensity,precursor_selected_ion_mz,isolation_window_target_mz,acquisition_mode_hint
76,sample=1 period=1 cycle=13 experiment=5,2,4.22599999998,positive,True,503227.0,381.209701512599,8049.0,394.1,394.1,DDA
77,sample=1 period=1 cycle=13 experiment=6,2,4.26700000002,positive,True,334953.0,397.187132432884,2487.0,637.4,637.4,DDA
78,sample=1 period=1 cycle=14 experiment=1,1,4.3630000000199995,positive,True,694255.0,166.028288941494,21204.0,,,
79,sample=1 period=1 cycle=14 experiment=2,2,4.43299999998,positive,True,748407.0,42.034084396437,181664.0,105.15,105.15,DDA
80,sample=1 period=1 cycle=14 experiment=3,2,4.47400000002,positive,True,646588.0,166.029298220164,10826.0,202.3,202.3,DDA
81,sample=1 period=1 cycle=14 experiment=4,2,4.515,positive,True,142600.0,46.064608988999,2126.0,283.5,283.5,DDA
82,sample=1 period=1 cycle=14 experiment=5,2,4.55599999998,positive,True,463560.0,98.982210431563,4466.0,394.1,394.1,DDA
83,sample=1 period=1 cycle=14 experiment=6,2,4.5970000000199995,positive,True,327742.0,556.272885643273,2027.0,637.4,637.4,DDA
84,sample=1 period=1 cycle=15 experiment=1,1,4.69300000002,positive,True,703951.0,68.010762625452,17943.0,,,
85,sample=1 period=1 cycle=15 experiment=2,2,4.76299999998,positive,True,889010.0,42.034084396437,205287.0,105.15,105.15,DDA
86,sample=1 period=1 cycle=15 experiment=3,2,4.80400000002,positive,True,762352.0,166.029298220164,15926.0,202.3,202.3,DDA
87,sample=1 period=1 cycle=15 experiment=4,2,4.845,positive,True,112723.0,46.064608988999,1803.0,283.5,283.5,DDA
88,sample=1 period=1 cycle=15 experiment=5,2,4.88599999998,positive,True,481896.0,381.209701512599,7147.0,394.1,394.1,DDA
89,sample=1 period=1 cycle=15 experiment=6,2,4.9270000000200005,positive,True,384475.0,556.276195144611,3148.0,637.4,637.4,DDA
90,sample=1 period=1 cycle=16 experiment=1,1,5.023000000020001,positive,True,824499.0,68.010762625452,19538.0,,,
